,word,word_score,listing_occurences,word_occurences,comment_occurences
0,nashville,97.63447267980533,2934,70479,58155
1,thoughtfulness,97.42825914149444,4676,5032,5025
2,baked,97.41791942273001,6098,11641,11541
3,muffins,97.39786500611586,3334,8993,8885
4,homemade,97.37199822773593,10157,22571,21993
5,meticulously,97.37198351971747,3189,3398,3395
6,goodies,97.34661950754999,9700,14702,14647
7,immaculate,97.33458788106887,32509,47826,47676
8,magazine,97.32799727520435,3197,8808,8545
9,touches,97.32535328841452,79537,201253,199619
10,smelly,88.57455812795618,3661,4017,3882
11,mold,88.42096633143856,6531,9148,7759
12,refused,88.31087503494548,3263,3577,3336
13,cockroaches,88.14610958218664,2867,3997,3440
14,dirty,88.09735420527582,31085,50722,41874
15,odeur,88.07062554050158,2934,3469,3319
16,worst,87.72063063063064,9688,11100,10446
17,filthy,86.9655096175105,3822,4523,4077
18,disgusting,86.4644284572342,3318,3753,3492
19,sucio,86.21128048780488,2801,3280,3023
