,word,word_score,listing_occurences,word_occurences,comment_occurences
0,lemon,99.0,15,59,58
1,streetcar,98.48148148148148,13,54,52
2,champagne,98.375,23,72,72
3,mark,98.35751295336787,25,386,308
4,encourage,98.33333333333333,16,18,18
5,baked,98.25641025641026,22,39,39
6,nashville,98.1985111662531,14,403,308
7,magazine,98.1951219512195,16,41,40
8,creamer,98.11764705882354,14,17,17
9,cheery,98.07142857142857,13,14,14
10,peuvent,87.75,16,16,16
11,bsico,87.57142857142857,13,14,14
12,"
however",87.52941176470588,17,17,17
13,bruits,87.52380952380952,19,21,20
14,smelly,87.35714285714286,13,14,13
15,shabby,87.33333333333333,14,15,15
16,horrible,87.3,30,40,33
17,revanche,86.47058823529412,17,17,17
18,mold,86.12903225806451,27,31,29
19,ore,85.95,16,20,16
