,word,word_score,listing_occurences,word_occurences,comment_occurences
0,nashville,97.80998822935933,243,5947,4838
1,granola,97.66095238095238,221,525,516
2,thoughtfulness,97.5598086124402,388,418,416
3,meticulously,97.5373665480427,258,281,280
4,breweries,97.48148148148148,349,783,771
5,hideaway,97.48076923076923,394,780,740
6,treats,97.45483723062816,1270,2181,2163
7,goodies,97.42070116861436,774,1198,1197
8,magazine,97.41655886157827,285,773,759
9,baked,97.37989323843416,522,1124,1117
10,stains,88.09285714285714,552,700,628
11,dirty,87.9590013742556,2612,4366,3615
12,smelly,87.92917847025495,320,353,338
13,olor,87.85227272727273,290,352,329
14,odeur,87.79850746268657,223,268,261
15,cockroaches,87.66153846153846,242,325,276
16,worst,87.43426724137932,807,928,868
17,sucio,86.90262172284645,230,267,249
18,disgusting,86.80730897009967,260,301,276
19,filthy,86.59946236559139,307,372,339
