,word,word_score,listing_occurences,word_occurences,comment_occurences
0,nashville,97.44745062474809,879,19848,16377
1,homemade,97.43256081761912,3257,6948,6783
2,thoughtfulness,97.42546583850931,1498,1610,1609
3,baked,97.41745219499057,1911,3713,3686
4,goodies,97.39231738035265,3125,4764,4747
5,muffins,97.36832298136646,1092,3220,3185
6,austin,97.36438119879259,1286,20871,17156
7,immaculate,97.35959781822962,10360,15217,15162
8,touches,97.35735684460519,25508,64423,63897
9,treats,97.32133316371963,4947,7861,7830
10,horrible,88.40494845360824,2149,2425,2274
11,smelly,88.30972762645915,1171,1285,1240
12,mold,88.13535353535353,2085,2970,2472
13,odeur,87.85751978891821,935,1137,1086
14,dirty,87.82019405700424,10022,16490,13598
15,worst,87.70628983097811,3131,3609,3369
16,unclean,87.63885839736554,821,911,864
17,filthy,86.5691114245416,1186,1418,1267
18,disgusting,86.45646661031276,1058,1183,1099
19,sucio,86.10803059273422,906,1046,968
