,word,word_score,listing_occurences,word_occurences,comment_occurences
0,coop,99.14325068870524,41,363,263
1,chicken,98.94186046511628,38,172,151
2,austin,98.59917355371901,35,726,603
3,thoughtfulness,98.35714285714286,52,56,56
4,nashville,98.29142857142857,30,525,439
5,wildlife,98.125,28,88,86
6,heavenly,98.11904761904762,40,42,42
7,lovingly,98.03703703703704,26,27,27
8,portland,97.94112554112554,42,1155,973
9,goodies,97.890625,82,128,128
10,holes,87.8108108108108,29,37,35
11,compliqu,87.65625,31,32,31
12,incmodo,87.63333333333334,28,30,30
13,refused,87.6,29,40,31
14,dirty,87.50585480093677,265,427,360
15,confirmed,87.5,32,34,33
16,electricity,86.98412698412699,46,63,53
17,disgusting,84.86666666666666,28,30,29
18,cockroaches,84.5,31,38,34
19,filthy,82.57575757575758,28,33,29
