,word,word_score,listing_occurences,word_occurences,comment_occurences
0,nashville,97.57789983336552,5890,139827,115315
1,thoughtfulness,97.4776119402985,9198,9916,9894
2,muffins,97.43612812313695,6587,18451,18242
3,homemade,97.37559621112031,20143,44658,43492
4,baked,97.36961891319689,11898,22672,22459
5,meticulously,97.36767344497608,6282,6688,6678
6,immaculate,97.33249671829877,64988,95225,94921
7,goodies,97.32685630107677,19201,28511,28396
8,touches,97.32373613514422,159408,401646,398378
9,magazine,97.31607270331119,6385,18211,17644
10,olor,88.5509477165755,6400,7861,7252
11,refused,88.53285992759677,6553,7182,6689
12,mold,88.299848779434,13258,18516,15737
13,cockroaches,88.25378214826021,5711,7932,6805
14,dirty,88.06273596901347,62674,102238,84487
15,odeur,87.87749533247164,5837,6963,6689
16,worst,87.71269021980956,19596,22474,21074
17,filthy,86.90364145658263,7546,8925,8052
18,disgusting,86.43580494321978,6591,7485,6954
19,sucio,86.18373264153823,5596,6553,6012
