,word,word_score,listing_occurences,word_occurences,comment_occurences
0,magazine,98.47727272727273,53,88,83
1,chickens,98.43636363636364,58,220,216
2,bungalow,98.0422322775264,95,663,523
3,austin,98.00406834825061,85,1229,1005
4,chris,97.90880748246298,77,1283,913
5,baked,97.8125,114,240,239
6,pup,97.79629629629629,77,108,107
7,wildlife,97.76229508196721,52,122,121
8,eggs,97.69270833333333,187,576,573
9,sandy,97.68051575931231,78,698,528
10,refund,88.39084507042253,211,284,229
11,filthy,88.32926829268293,74,82,76
12,mold,88.03743315508021,140,187,159
13,viter,88.0327868852459,58,61,58
14,cockroaches,88.0,62,83,71
15,unclean,87.9322033898305,54,59,57
16,worst,87.87096774193549,207,248,222
17,cancel,87.66666666666667,119,147,122
18,disgusting,87.32394366197182,62,71,67
19,sucio,86.06493506493507,61,77,72
