,word,word_score,listing_occurences,word_occurences,comment_occurences
0,nashville,97.63931329061936,1472,36522,30004
1,muffins,97.57522316568692,1654,4593,4540
2,baked,97.48860759493671,3037,5925,5870
3,homemade,97.45992601726265,5068,11354,11064
4,thoughtfulness,97.45558272208639,2293,2454,2449
5,immaculate,97.36467726376715,16241,23843,23766
6,treats,97.33844221105528,7728,11940,11874
7,goodies,97.31711058429786,4787,7171,7139
8,touches,97.30652263312571,39932,99699,98858
9,meticulously,97.30618493570117,1540,1633,1631
10,olor,88.53384615384616,1595,1950,1812
11,refused,88.29390892962743,1566,1691,1593
12,cockroaches,88.25328614762387,1429,1978,1707
13,dirty,88.02346770797443,15853,26121,21460
14,worst,87.74781678845126,4880,5611,5280
15,unclean,87.72150997150997,1286,1404,1332
16,odeur,87.68628571428572,1472,1750,1686
17,filthy,87.15677782589866,1957,2309,2092
18,disgusting,86.61211807353703,1700,1931,1790
19,sucio,85.92904790782292,1403,1649,1507
