,word,word_score,listing_occurences,word_occurences,comment_occurences
0,nashville,97.72846896402956,756,18543,15315
1,thoughtfulness,97.51462450592885,1167,1265,1263
2,meticulously,97.46449359720606,815,859,857
3,muffins,97.44985535197685,808,2074,2055
4,homemade,97.3496046751461,2603,5818,5669
5,touches,97.33707576446403,20049,50592,50187
6,immaculate,97.32979429329794,8235,12056,12014
7,lovingly,97.3125794155019,726,787,784
8,sanctuary,97.31159420289855,1187,1932,1830
9,impeccably,97.29769169540992,3268,3769,3765
10,refused,88.34633569739952,779,846,794
11,smelly,88.31772908366534,907,1004,973
12,dirty,88.2171862509992,7719,12510,10292
13,olor,88.20541082164328,810,998,923
14,agency,88.14563862928348,908,1284,1066
15,cockroaches,87.847,742,1000,871
16,worst,87.71655820679682,2416,2766,2596
17,disgusting,87.1715210355987,828,927,877
18,filthy,86.64760147601476,919,1084,973
19,sucio,85.49455864570737,718,827,765
